Token,PRT
securus,1.0163312398766484
fides,1.0108976947587405
dubius,1.0130589754317794
cor,1.0086752045130736
periclum,1.0088876220577747
error,1.0083545034766956
pello,1.0053497316025826
tactus,1.0184075229949112
probo,1.0148572413006314
incolumis,1.0222956539436359
nusquam,1.008742644366428
rimor,1.0252493975507506
sepulchrum,1.0118224353794716
undique,1.0076024751015427
uallo,1.0452557451256086
ualidus,1.0113944838626874
munimen,1.0271370812711675
martyr,1.0322151956092442
emeritum,1.8358252577721748
nullus,1.0106192871409703
dignus,1.007993489132021
retineo,1.0060976757925713
honor,1.023445300642718
numquam,1.0175695739151336
desisto,1.0185165218894758
adsum,1.0088762771122612
unde,1.051610685535785
sto,1.0090864730322602
gratia,1.012132401646997
uiuus,1.0114271652202305
christus,1.0073484997863682
fungor,1.0251499148642196
sine,1.0051721633983763
sepelio,1.0187772122565268
tempus,1.0084517834676265
placidus,1.0070774840014383
sopio,1.0309739244444782
reformo,1.0184528384765643
sollicitus,1.0202418435217149
munio,1.009187536595134
usque,1.0101415046910736
dominus,1.0325974578623556
debeo,1.0052069733875524
princeps,1.0235477623137579
excio,1.0367250661778873
pariter,1.007993489132021
radio,1.0063280224826272
gloria,1.006883291323889
inconcussus,1.0356832964837224
requiesco,1.0214820815828367
cubile,1.0128486501099407
,1.0764603600516889
regio,1.015805357318875
supernus,1.023952189732352
pax,1.007860453403409
teneo,1.0079074387982117
uenerabilis,1.0528923321155075
supersum,1.0085202846903638
refero,1.0115327843460609
quasi,1.0268741696577248
uero,1.0140458378841004
cano,1.0049770191664387
profudo,1.1282106044917226
munus,1.0114261896267362
plenus,1.0075393020545562
sermo,1.0144459181276437
patronum,1.0507897513085693
lateo,1.0072935834237526
numerus,1.0095312434374093
memor,1.0129045407871007
tamen,1.0103513155325017
figo,1.004765222024084
sedeo,1.0138264030304782
plurimus,1.0106637903952334
memoro,1.030853945538531
plus,1.0144839498394123
etiam,1.010886730928277
sed,1.006040000023986
maximus,1.016579293800055
excerpo,1.0477484097248686
moneo,1.0115566919670156
modero,1.0125232125366104
regula,1.019755107538499
liber,1.0106533186886772
extructus,1.0700675715021657
ars,1.0062140127336583
diuersus,1.0158058493485533
exsto,1.0323051926676203
modus,1.0293330686154516
excelsus,1.0157435498814356
aula,1.0144234071514326
uestibulum,1.0228524748937364
extendo,1.0285264202272992
circumdatus,1.0101797009299651
late,1.0478073678077526
porticus,1.0107093935544595
solum,1.036869804709196
aqua,1.005855554359147
tectum,1.0081347379938
maestus,1.0055458040984409
oro,1.0077894992293155
colona,1.0566469334393431
querula,1.068199968381637
uox,1.017947178219645
incuso,1.0429745098371987
segniter,1.063036350597636
quod,1.0146490527907055
consors,1.0200125875119042
tam,1.0394591635413695
longus,1.012930286817326
socia,1.0275873359897831
patior,1.0069535740179674
urbs,1.0196360522913346
nego,1.0072845119136862
inconsultus,1.024493174906646
propero,1.0186633332187804
traho,1.0091377003204574
consilium,1.0136615676708416
potior,1.0148013804556741
mora,1.0257400141732127
necto,1.0093801900632953
congruus,1.0514411772078915
iustus,1.0139429410759695
ratio,1.0115057066708597
peto,1.007424836218261
ordo,1.0070398242297853
prior,1.0130846069642223
perfectio,1.025209426745614
coepio,1.0123075512090576
circa,1.0162656132902594
uenerandus,1.0556911604795396
sedulus,1.0258218606262515
molimen,1.040053412319425
cumque,1.0210937095363277
summus,1.011878945203513
diuinus,1.0182882877414892
finio,1.0182447790819031
condo,1.0074467351748049
perduco,1.012052297643421
atrium,1.012877389622116
fons,1.0036586377003478
denique,1.0173044429139901
impleo,1.0167296753797324
paratus,1.0206508647588401
diu,1.009469286042379
aridus,1.0185348246153816
mox,1.010555187426752
populus,1.0112782870370705
asper,1.006933630382032
consensus,1.0289446366591015
facilis,1.0242775752218007
procliuis,1.0388751783734447
dignior,1.0771451891740373
praesumo,1.0285411119638752
dica,1.0292031798944492
igitur,1.0165451083736319
modo,1.0175864847913205
da,1.007427013972413
nunc,1.0055433934006468
exoro,1.02382527981675
curro,1.0211053309204146
largus,1.0145546841381252
flumen,1.0081343139457004
tuus,1.0154045115650645
domus,1.0150706126592566
mano,1.043411374548827
tu,1.0059945156405938
suffrago,1.05909573314338
benignus,1.0136817174641934
contribuo,1.0577942804815414
talis,1.0154781401730377
decoro,1.0322383761315745
augeo,1.0097796960756928
sitio,1.0072354681123155
infero,1.0330757953340453
aruum,1.005194265655338
rursus,1.0282010396727155
petra,1.0195439135677082
uber,1.009289895464011
fluo,1.003840236308979
antiquus,1.0142428647841903
pietas,1.0140528863748937
insolitus,1.0171521029320183
siccus,1.0205326555904481
irroro,1.0936456142324766
efficio,1.0178126137494237
hospes,1.0123136593307
gens,1.0106805942848276
cogo,1.0098562798654513
puteus,1.0120119451702523
lacus,1.01104402375034
concha,1.087462080782024
capax,1.0258557946715252
largiter,1.0538735589122623
rigo,1.0103931786299987
perrumpo,1.041485889528431
saxum,1.00474879477511
fundo,1.0058898086093995
unda,1.004681466719045
pareo,1.0106032157935667
uena,1.010831732634382
aeternus,1.02347539389905
gutta,1.0137321260789307
tenuis,1.0080407897669885
quo,1.0079168848445905
loquor,1.0188275721057019
prŏfectus,1.060434306633934
duco,1.007153235218249
fluuius,1.0168171155202586
exundo,1.0384450598022021
origo,1.0100990542988835
nam,1.0059105552756233
modicum,1.03748573143101
potentia,1.0361188083249349
pater,1.0071971314011832
for,1.0208281056395325
queo,1.02891258029211
inspiro,1.0206683128637533
dico,1.02017298145835
lumen,1.005359611730167
natis,1.010237974005479
cerno,1.0095497106419984
dux,1.0209535901419153
aspiro,1.0347386342575675
quia,1.013759935650004
gero,1.0048167336575793
nomen,1.0128859506431385
stillo,1.0352133368463206
hinc,1.0062350141765934
labrum,1.0125790673021746
sapor,1.0098739079377885
areo,1.0223862970189874
lingua,1.0084562084866957
uberior,1.023233574070984
uelut,1.0295347547116087
umecto,1.1484796616912862
instructus,1.0171087529699139
postulo,1.0089814854852452
deuotae,1.2151212824191735
abella,1.2770819604771173
indo,1.0178224933630358
uersiculus,1.0303869652967288
laus,1.0067512129974787
laudo,1.0102490454332236
spons,1.017494469260685
sumo,1.0121483995447351
desudo,1.0702528340092206
aestus,1.006008148459155
rupes,1.0082650588160067
abrumpo,1.0305420930515257
requies,1.010422083228992
pretium,1.0165507133940723
differentia,1.0564492540942154
distinguo,1.0212452433149228
opinor,1.1028927801125559
existimo,1.0103596513668738
alibi,1.031695653639071
aliter,1.0330593198829432
sacro,1.0132418502329816
turris,1.0158615747934425
peruolo,1.039269858056037
uiciniae,1.1884370677653293
transilio,1.0348983947283719
pronuntio,1.0180995711256915
genitalis,1.0206723489872132
lacertus,1.0285623621280084
gula,1.02627303441607
proseco,1.2006785603665096
paruus,1.011168820648914
