id,title,creator,date,type,file
MQDQ-232,eclogae,Nemesianus,250,poetry,lat_0250.0_MQDQ-232.txt
MQDQ-343,precatio omnium herbarum,precatio omnium herbarum,250,poetry,lat_0250.0_MQDQ-343.txt
MQDQ-344,precatio Terrae matris,precatio Terrae matris,250,poetry,lat_0250.0_MQDQ-344.txt
MQDQ-558,"de litteris, de syllabis, de metris",Terentianus Maurus,250,poetry,lat_0250.0_MQDQ-558.txt
IT-LAT0893,Curae boum,"Gargilius Martialis, Quintus",260,prose,lat_0260_IT-LAT0893.txt
IT-LAT0895,Medicina ex oleribus et pomis,"Gargilius Martialis, Quintus",260,prose,lat_0260_IT-LAT0895.txt
IT-LAT0896,Vita Alexandri Severi,"Gargilius Martialis, Quintus",260,prose,lat_0260_IT-LAT0896.txt
IT-LAT0203,De ave phoenice,[Auctor incertus],300,poetry,lat_0300_IT-LAT0203.txt
IT-LAT0264,Adversus nationes,Arnobius,300,prose,lat_0300_IT-LAT0264.txt
IT-LAT0351,Liber memorialis,"Ampelius, Lucius",300,prose,lat_0300_IT-LAT0351.txt
MQDQ-107,carminum fragmenta,Albinus,300,poetry,lat_0300.0_MQDQ-107.txt
MQDQ-447,uersus Orphici,Arnobius,300,poetry,lat_0300.0_MQDQ-447.txt
MQDQ-87,epigrammata Bobiensia,epigrammata Bobiensia,300,poetry,lat_0300.0_MQDQ-87.txt
MQDQ-158,e Graecis conuersa,"Lactantius, Lucius Caecilius Firmianus",300,poetry,lat_0300.0_MQDQ-158.txt
MQDQ-159,*de passione domini,"Lactantius, Lucius Caecilius Firmianus",300,poetry,lat_0300.0_MQDQ-159.txt
MQDQ-157,de aue Phoenice,"Lactantius, Lucius Caecilius Firmianus",300,poetry,lat_0300.0_MQDQ-157.txt
MQDQ-241,carmina,Publilius Optatianus Porfyrius,300,poetry,lat_0300.0_MQDQ-241.txt
MQDQ-290,carmina (anth. Riese),Pentadius,300,poetry,lat_0300.0_MQDQ-290.txt
MQDQ-377,distichorum appendix,pseudo Cato,300,poetry,lat_0300.0_MQDQ-377.txt
MQDQ-378,uersus ex Columbano,pseudo Cato,300,poetry,lat_0300.0_MQDQ-378.txt
MQDQ-393,de concubitu Martis et Veneris,Reposianus,300,poetry,lat_0300.0_MQDQ-393.txt
MQDQ-499,carmina,Tiberianus,300,poetry,lat_0300.0_MQDQ-499.txt
MQDQ-500,carminum fragmenta,Tiberianus,300,poetry,lat_0300.0_MQDQ-500.txt
MQDQ-563,iudicium coci et pistoris,Vespa,300,poetry,lat_0300.0_MQDQ-563.txt
IT-LAT0268,De mortibus persecutorum,"Lactantius, Lucius Caecilius Firmianus",318,prose,lat_0318_IT-LAT0268.txt
MQDQ-1,laudes Domini,laudes Domini,321,poetry,lat_0321_MQDQ-1.txt
IT-LAT0886,Epistulae de iure civitatis Orcistenorum,Ablabius,330,prose,lat_0330_IT-LAT0886.txt
MQDQ-166,epigramma,Ablabius,331,poetry,lat_0331_MQDQ-166.txt
MQDQ-149,e Graecis conuersa,Iulius Valerius,338,poetry,lat_0338_MQDQ-149.txt
IT-LAT0115,Breviarium ab Urbe condita,Eutropius,350,prose,lat_0350_IT-LAT0115.txt
IT-LAT0233,Periegesis seu descriptio orbis terrarum,"Avienus, Rufius Festus",350,poetry,lat_0350_IT-LAT0233.txt
IT-LAT0238,Prodigiorum Liber,"Obsequens, Iulius",350,prose,lat_0350_IT-LAT0238.txt
IT-LAT0263,Epistula ad Marcellinam sororem,Ambrosius Mediolanensis,350,prose,lat_0350_IT-LAT0263.txt
IT-LAT0286,Testamentum porcelli,[Auctor incertus],350,prose,lat_0350_IT-LAT0286.txt
IT-LAT0353,Epistula ad Theodosium,"Avianus, Flavius",350,prose,lat_0350_IT-LAT0353.txt
IT-LAT0361,De barbarismo,"Donatus, Aelius",350,prose,lat_0350_IT-LAT0361.txt
IT-LAT0362,De schematibus,"Donatus, Aelius",350,prose,lat_0350_IT-LAT0362.txt
IT-LAT0364,De solecismo,"Donatus, Aelius",350,prose,lat_0350_IT-LAT0364.txt
IT-LAT0365,De tropis,"Donatus, Aelius",350,prose,lat_0350_IT-LAT0365.txt
IT-LAT0366,De ceteriis vitiis,"Donatus, Aelius",350,prose,lat_0350_IT-LAT0366.txt
IT-LAT0367,Commentarii Vergiliani,"Donatus, Aelius",350,prose,lat_0350_IT-LAT0367.txt
IT-LAT0609,Poemata,Paulinus Nolanus,350,poetry,lat_0350_IT-LAT0609.txt
IT-LAT0612,Chronica,"Severus, Sulpicius",350,prose,lat_0350_IT-LAT0612.txt
IT-LAT0719,Itinerarium peregrinatio,Egeria,350,prose,lat_0350_IT-LAT0719.txt
IT-LAT0775,Fasti,Hydatius Lemicensis,350,prose,lat_0350_IT-LAT0775.txt
IT-LAT0776,Chronicon,Hydatius Lemicensis,350,prose,lat_0350_IT-LAT0776.txt
IT-LAT0850,De viris illustribus urbis Romae,Auctor incertus (Aurelius Victor?),350,prose,lat_0350_IT-LAT0850.txt
IT-LAT0919,Opus agriculturae,"Palladius, Rutilius Taurus Aemilianus",350,prose,lat_0350_IT-LAT0919.txt
IT-LAT0978,Apophthegmata,Macarius Magnus: Sanctus,350,prose,lat_0350_IT-LAT0978.txt
MQDQ-569,Aratea,Auienus,350,poetry,lat_0350.0_MQDQ-569.txt
MQDQ-570,carmen ad Flauianum,Auienus,350,poetry,lat_0350.0_MQDQ-570.txt
MQDQ-571,carmen ad Nortiam,Auienus,350,poetry,lat_0350.0_MQDQ-571.txt
MQDQ-573,ora maritima,Auienus,350,poetry,lat_0350.0_MQDQ-573.txt
MQDQ-10,e Graecis conuersa,Chalcidius,350,poetry,lat_0350.0_MQDQ-10.txt
MQDQ-609,de mortibus boum,Severus Endelechius,350,poetry,lat_0350.0_MQDQ-609.txt
MQDQ-151,euangeliorum libri,Vettius Aquilinus Iuuencus,350,poetry,lat_0350.0_MQDQ-151.txt
