Token,PRT
fere,1.020723641582591
collis,1.01038216489162
succedo,1.0196863731370769
libero,1.0262388844412518
populatio,1.0280997863489445
iaculor,1.0231382258595665
excurro,1.0216928972095909
semel,1.0081562437580687
metus,1.0066710524326241
contemptus,1.007698702147391
neglegentia,1.0129055192346332
apud,1.01278622372514
istic,1.1014989634146461
sterno,1.0057689642289687
infreno,1.1537498139802667
arma,1.0060148443593286
ordo,1.015347484389014
dilapdo,1.0455722017608662
spargo,1.004326083246348
iuvenalis,1.053936915994262
lusus,1.0139547679374672
lasciuio,1.0180146899988884
uersus,1.0105702833035906
uescor,1.0285873337694418
umbra,1.0084068686908514
somnus,1.0060486268365607
diophanis,1.0500928591350205
alo,1.0056151166035785
pergamo,1.0449794420054777
contemplor,1.0236003435426244
porta,1.0265537278344161
iubeo,1.0144937035926656
aegre,1.0162782946903792
permitto,1.0154505435589507
quippe,1.0233695134357532
sescenti,1.0189255839221116
pugno,1.0107198664230737
cerno,1.00761954044444
occasio,1.0250147545971415
opperior,1.0227295157571896
consido,1.0116892411909788
amentia,1.0150749117092226
audacia,1.0218619111221205
credo,1.0157325421816905
paullisper,1.0214323295943193
quisquam,1.0122203352730805
solitus,1.0108099907734727
eludo,1.0114783255411055
paucitas,1.0170816842418204
muto,1.0047891718696194
aliquamdiu,1.0150779210658658
spectaculum,1.0091426169569626
modo,1.0187638497908302
dilabor,1.023084444328446
quantum,1.007833632519766
accelero,1.0197562232318957
sequor,1.0082186459576163
turma,1.0090782795764632
effusus,1.0986233759056143
habena,1.0126438518817538
clamor,1.0092512807827603
pedio,1.1673765558847977
tollo,1.0123523254508204
improuisus,1.0231261214024105
inuado,1.0122231445157543
terreo,1.0064144070473655
uinculum,1.0132964991077826
abrumpo,1.0145730901695138
trepidatio,1.0320528976125296
tumultus,1.0151633573888716
facile,1.0087751545672328
multo,1.0192999224523054
maior,1.0132720195996188
pro,1.0144947464578855
numerus,1.01038216489162
achaeus,1.016066569096785
uero,1.0570092824973247
ordino,1.0324171233932111
praeparo,1.0332330064704176
semisomnus,1.1703080820601621
prope,1.0175896324982052
adorior,1.0189370322391
caedes,1.0074916249621226
passim,1.0242681326917185
fuga,1.0106622683313835
quoad,1.0205776016485733
decore,1.0211643741232233
achaeor,1.0176220982191326
specto,1.004653731868994
uir,1.0197457482067003
femina,1.0083808066197302
redeo,1.0077509992686287
uin,1.3699265114152268
adfero,1.0276203798563273
noctua,1.068951007924293
usque,1.0326944502236235
posterus,1.09018141081707
compono,1.0101919267695247
quingenti,1.0157826014670626
passus,1.0523812791577747
longe,1.0107769839097125
procedo,1.0211725785611665
hora,1.0182305654108064
inteno,1.0322833429626033
utrimque,1.0166411413866208
expecto,1.0182629484393046
occasus,1.0069703756334674
sol,1.0049678087383453
confero,1.0186458917472105
abeo,1.040682682027492
agmen,1.0177017282448053
compositus,1.0194349424525233
coepo,1.017249792635781
quiesco,1.0112091668604437
conspectus,1.0784831465152271
pridie,1.5119477208247052
incurro,1.033208445041618
tantum,1.0121142061795543
pauor,1.0165504054243115
incutio,1.0125072027882727
caedo,1.0086174147635474
nemo,1.0144652403345267
restito,1.1743081456333335
trepido,1.0127604238821974
uix,1.0067658933685604
seruo,1.0079874935938915
cogo,1.0106069900792283
tuo,1.0153312623109676
colonia,1.0255926607707513
expugno,1.0140440604540661
capo,1.0435808351089488
thyatira,1.1056901481817936
sardus,1.0402225577637878
os,1.0149015046445498
permaneo,1.0189278735649288
retro,1.0674517492825635
unde,1.0230239312687017
prŏfectus,1.0257508635650916
phocaea,1.1303420471924024
bacchius,1.1382120484065983
immineo,1.0185730398595276
phocaeensis,1.032154931123294
appello,1.0078081449216303
templum,1.020016556436339
egregie,1.0296256750982127
exorno,1.0195090947948948
diripio,1.0205243372790422
nam,1.0130353025909629
nos,1.009135211670859
defedior,1.0511157584513582
diuido,1.0072568750535458
scala,1.034425830458698
intro,1.055112023317443
hellespontum,1.0169778622099723
m.,1.020600510762096
aemilius,1.02353933233419
praetor,1.0479419950929687
decedo,1.0251162154103346
celebro,1.017029647272205
exsequia,1.0298697673796189
fama,1.0081647251568142
syrius,1.0193803727237327
tredecim,1.0340153194019688
cnidium,2.0239917810850105
biduus,1.0219123896678355
rhodos,1.2297384561685283
praeficio,1.0203785405423584
syriacus,1.060276549325513
missa,1.2368673282424627
carius,1.0480167520606816
daedalus,1.0308142332249692
castellum,1.01650365777864
obsidio,1.018524807501472
eximo,1.0159645537879602
confestim,1.039241210682769
exeo,1.019278372111221
addo,1.0087122589278184
apertus,1.0323665546340521
maturo,1.0255895887461315
praegredior,1.0258138321971895
consequor,1.0248972855629954
bonus,1.0145501440863984
iouis,1.018922551708272
deus,1.0518834502812624
adiuro,1.0576558432069514
uxor,1.0228058940953213
satin,1.4878230122649594
confinius,1.0263307304374625
pamphylia,1.016406234475726
phaselus,1.0735602291401205
promineo,1.0181862583826928
penitus,1.048869683511383
conspicio,1.0115219287075838
obuio,1.1600252841738412
eligo,1.0162404976649242
quod,1.0123030312464967
prouideo,1.0300248659057134
grauis,1.0064134411002272
annus,1.0186827545672248
medius,1.0085645426407748
aestas,1.0140283090188065
insolitus,1.0148800171021746
odor,1.013925170662918
ingruo,1.0228310858611045
morbus,1.009955065795224
uulgus,1.0116392795354225
pestilentia,1.0191405457935496
pamphylis,1.0362374558483725
sido,1.0370918925641772
tarde,1.0216465463895366
etesia,1.046026310867261
status,1.0162574875109214
triginta,1.0174446113244244
triremis,1.0759320429112882
septem,1.0181910782071983
forma,1.0099025396702332
praeter,1.0099189534973734
decem,1.0113436978100294
specula,1.0368398797956084
uterque,1.0067309149180215
lux,1.0130622175348747
tamquam,1.0204374376566188
supero,1.0070022277169037
promunturium,1.0883713459393445
sidus,1.002889254643556
extemplus,1.0583257599178835
conspeo,1.2632896898982626
sinister,1.014674089813921
cornu,1.0171147341816353
obiectum,1.015820733471616
hannibal,1.0106433342403325
dexter,1.0124151871064246
apollonius,1.0631915614969534
purpuratus,1.1450814616994736
praesum,1.0267523782013308
frons,1.0044516927041238
derigo,1.036545336551317
longus,1.0052252827230859
praetorium,1.0629368750843822
acies,1.0126469079628864
instructus,1.0195577302167205
concurro,1.0105019293670836
deinceps,1.032636735666618
sic,1.0084129298307027
explico,1.0140339476086586
festino,1.012117320122548
praeproperus,1.0697449828892103
quinque,1.0104107037473848
hannibalis,1.0056261472139323
occurro,1.0086593162199131
quia,1.037440310230049
extremus,1.0078280021318078
relico,1.044368370381778
momentum,1.0191295262508884
uirtus,1.0204784027775244
demo,1.008368988217495
quaeque,1.0257947651818056
venio,1.0675666087891855
dedo,1.0130064929517042
rostrum,1.0144050065505885
prora,1.0131232708224738
lacero,1.0064884282617017
detergeo,1.036926968017485
discursus,1.0221134819522562
puppis,1.0039805037479281
exterreo,1.0183664767079816
itaque,1.036045227235072
inclino,1.0252632439639833
ni,1.0140799167131782
dispergo,1.01759370603014
