id,title,creator,date,type,file,time_interval
IT-LAT0990_9,Capitula ex orientalium patrum synodis,Martinus Bracarensis,550,prose,lat_0550_IT-LAT0990_9.txt,150
MQDQ-353,de actibus apostolorum,Arator,550,poetry,lat_0550.0_MQDQ-353.txt,150
MQDQ-351,epistula ad Florianum,Arator,550,poetry,lat_0550.0_MQDQ-351.txt,150
MQDQ-354,epistula ad Parthenium,Arator,550,poetry,lat_0550.0_MQDQ-354.txt,150
MQDQ-355,in historiam praefatio,Arator,550,poetry,lat_0550.0_MQDQ-355.txt,150
MQDQ-352,epistula ad Vigilium,Arator,550,poetry,lat_0550.0_MQDQ-352.txt,150
MQDQ-95,hymnus,Flauius Cabilonensis Episcopus,550,poetry,lat_0550.0_MQDQ-95.txt,150
MQDQ-244,uersus in Benedicti laudem,Marcus Casinensis,550,poetry,lat_0550.0_MQDQ-244.txt,150
MQDQ-415,de Christi beneficiis,Rusticius Helpidius,550,poetry,lat_0550.0_MQDQ-415.txt,150
MQDQ-416,tristicha,Rusticius Helpidius,550,poetry,lat_0550.0_MQDQ-416.txt,150
MQDQ-191,in Euangelia,Severus Malacitanus,550,poetry,lat_0550.0_MQDQ-191.txt,150
MQDQ-619,hymni,Columba,559,poetry,lat_0559_MQDQ-619.txt,150
IT-LAT0243,De Musica,"Cassiodorus, Flavius Magnus Aurelius",562,prose,lat_0562_IT-LAT0243.txt,150
IT-LAT0482,Institutiones divinarum et saecularium litterarum,"Cassiodorus, Flavius Magnus Aurelius",562,prose,lat_0562_IT-LAT0482.txt,150
MQDQ-30,epistula metrica,Columbanus,579,poetry,lat_0579_MQDQ-30.txt,150
MQDQ-34,versus ad Fidolium,Columbanus,579,poetry,lat_0579_MQDQ-34.txt,150
MQDQ-31,versus ad Hunaldum,Columbanus,579,poetry,lat_0579_MQDQ-31.txt,150
MQDQ-35,versus in mulieres,Columbanus,579,poetry,lat_0579_MQDQ-35.txt,150
MQDQ-33,carmen navale,Columbanus,579,poetry,lat_0579_MQDQ-33.txt,150
MQDQ-32,versus ad Sethum,Columbanus,579,poetry,lat_0579_MQDQ-32.txt,150
MQDQ-209,uersus in basilica,Martinus Bracariensis,579,poetry,lat_0579_MQDQ-209.txt,150
MQDQ-211,epitaphium,Martinus Bracariensis,579,poetry,lat_0579_MQDQ-211.txt,150
MQDQ-210,uersus in refectorio,Martinus Bracariensis,579,poetry,lat_0579_MQDQ-210.txt,150
MQDQ-188,epitaphium,Marius Auenticentis Episcopus,594,poetry,lat_0594_MQDQ-188.txt,150
IT-LAT0908,Sententiae,Isidorus Hispalensis Episcopus,598,prose,lat_0598_IT-LAT0908.txt,150
IT-LAT0909,"Historia de regibus Gothorum, Vandalorum et Suevorum",Isidorus Hispalensis Episcopus,598,prose,lat_0598_IT-LAT0909.txt,150
IT-LAT0957,De natura rerum ad Sisebutum regem liber,Isidorus Hispalensis Episcopus,598,prose,lat_0598_IT-LAT0957.txt,150
MQDQ-148,carmina,Isidorus Hispalensis Episcopus,598,poetry,lat_0598_MQDQ-148.txt,150
