Token,Cosine Similarity
mille,0.9839819
fere,0.9783125
immineo,0.9847683
minus,0.98853505
passus,0.94299185
occupo,0.9954689
ras,0.9647213
uelut,0.9859684
impedio,0.98904264
ubi,0.99165666
expedio,0.9943193
ante,0.85088855
signum,0.9844971
sagittarius,0.9809644
funditor,0.9646136
pedes,0.9777787
lenus,0.989553
scutum,0.9895216
uito,0.9953619
pes,0.9934715
confero,0.9895346
proelium,0.99189484
committo,0.9935575
adiuuo,0.99230057
uarietas,0.9924332
certamen,0.98393035
amplitudo,0.9803769
corpus,0.9910129
latus,0.99419516
planus,0.993687
male,0.9853361
tego,0.99662566
gladius,0.9787576
consero,0.9871277
nullus,0.9928126
praeparo,0.9790127
quisque,0.9894992
temere,0.98940855
trepido,0.9911208
insuetus,0.9820084
ars,0.9933234
adiuvo,0.98032653
ictus,0.994768
iaculus,0.98900044
incautus,0.98334825
configo,0.9889133
ira,0.991623
pauor,0.989834
deprendo,0.9924329
genus,0.98912334
aptus,0.9914558
facile,0.9923646
falsus,0.9956706
quemadmodum,0.98502094
uicis,0.9895374
uulnus,0.9968591
licet,0.978888
accendo,0.9877699
occulo,0.9931189
leuis,0.99486613
ruo,0.99538946
caecus,0.9741757
impetus,0.98900044
fera,0.99480796
incurro,0.9800595
detego,0.9898678
nudus,0.9894606
candidus,0.9925877
numquam,0.9918304
nisi,0.9886452
nudo,0.9923192
sanguis,0.9829428
caro,0.9292225
pateo,0.99502325
plaga,0.9727193
candor,0.9894979
ater,0.9919397
maculo,0.9801369
interdum,0.98988575
cutis,0.97413486
altus,0.99102104
gloriose,0.9553542
puto,0.99108356
aculeus,0.9793437
introrsus,0.97480524
tenuis,0.99300295
species,0.98380685
uro,0.989992
scruto,0.99328333
euello,0.9827934
sequor,0.99721944
rabies,0.9919807
pudor,0.9925313
miles,0.99016154
parma,0.98620254
dexter,0.9938987
eminus,0.96643764
cinctus,0.971897
transfero,0.99366605
laeuus,0.9944589
stringo,0.99333227
supersum,0.99322265
postquam,0.98791087
armatura,0.9490708
supero,0.99544775
insto,0.99369097
legio,0.9768113
repeto,0.9960875
plenus,0.9876416
femina,0.98973453
puer,0.9926834
imbellis,0.9822601
turba,0.99033487
permisceo,0.99500173
c.,0.84692806
obliquus,0.9877903
escendo,0.9734359
flecto,0.997031
uterque,0.992615
compositus,0.9886408
coepio,0.99122906
bonus,0.98924863
respiro,0.98953056
conquiesco,0.9810864
paullisper,0.99133766
simul,0.9854096
stro,0.98600507
ostento,0.99229217
talis,0.99225694
edideo,0.95132947
iustus,0.9772364
a,0.9892159
capiendus,0.97402585
compello,0.98530304
praecedo,0.9886384
sto,0.97842133
segnis,0.99448925
consumo,0.9879657
pernicitas,0.9756198
senectus,0.9906088
appropinquo,0.9751667
armatus,0.987424
uallum,0.9883865
consto,0.9896134
uanus,0.9915815
intercido,0.9876045
intra,0.9851797
momentum,0.98075724
firmus,0.9880901
multitudo,0.9758524
uolo,0.99481034
conicio,0.9892077
clamor,0.9872929
mulier,0.9693214
ploratus,0.9682486
significo,0.9932678
claudo,0.99412477
antesignanus,0.98457277
uero,0.9757372
plerusque,0.99122626
haereo,0.99654365
sustineo,0.9902191
priusquam,0.9714039
irrumpo,0.9926492
praeceps,0.99448633
obsto,0.99542814
metuo,0.99440444
itaque,0.97572505
uastus,0.99689853
debilitas,0.9812751
exanimo,0.98936933
direptio,0.96285766
praeda,0.98781586
abstineo,0.9908522
percello,0.9907191
addo,0.995132
superuenio,0.987301
intro,0.9637271
sino,0.9909111
protinus,0.98486894
persequor,0.98768485
paulus,0.95429784
post,0.986966
trado,0.9920516
captiuus,0.99215156
custodia,0.9815784
tribunus,0.9732686
debello,0.9753188
ratus,0.96265984
caesum,0.98648614
foro,0.98673093
egredior,0.9825671
aduenio,0.9832182
sors,0.99071676
intersum,0.98159796
ergo,0.9810492
est,0.70327616
quantum,0.9943547
equus,0.9929853
spargo,0.9963895
circa,0.9786159
cecido,0.9908553
interficio,0.98725367
ineo,0.97999704
late,0.9902879
caedes,0.9918821
conuallis,0.9828148
delabor,0.99235475
silua,0.9968042
uepres,0.9807072
claudius,0.9762694
bis,0.9921236
scribo,0.9917588
quadraginta,0.95877916
auctor,0.9836853
ualerius,0.95267206
immodicus,0.98915505
augeo,0.9944451
decem,0.98452955
dubius,0.99168146
expleo,0.98742867
traho,0.99768
modo,0.9834743
concremo,0.9692453
cumulo,0.9909928
ceterus,0.99100345
uendo,0.98909396
publicus,0.96938175
redigo,0.9931067
dono,0.98215073
meritum,0.97871053
summus,0.990044
adsentio,0.9555557
singularis,0.9405122
uirtus,0.98635674
industria,0.98263925
labor,0.9952605
periculum,0.9877019
modestia,0.9803088
integer,0.9505578
nobilis,0.99207497
urbs,0.98240745
unde,0.98571855
absum,0.9897899
facinus,0.98992425
uxor,0.9752996
forma,0.99018264
eximius,0.989424
custodio,0.97805595
centurio,0.9827888
praesum,0.9651138
libido,0.98837185
avaritia,0.965974
militaris,0.98290974
autumo,0.9613043
nimis,0.9745685
sermo,0.97373724
tempto,0.99568594
abhorreo,0.9852335
uoluntarius,0.9901115
stuprum,0.9932009
seruus,0.9849035
fortuna,0.9948984
lenio,0.99150586
indignitas,0.98058844
iniuria,0.9883026
spes,0.9816679
reditus,0.96917
amo,0.9914446
gratuitus,0.9782145
certus,0.9905797
aurum,0.98812467
pondus,0.9934974
conscium,0.9615406
permitto,0.9908278
nuntius,0.9716365
constituo,0.98750514
quo,0.9921798
necessarius,0.9867611
nox,0.9907403
insequor,0.99136275
accipiendus,0.9642629
forte,0.9845317
tenebra,0.9867033
educo,0.9786193
constitutum,0.9637315
ostendo,0.99464756
atticus,0.96694875
tantus,0.99417925
enim,0.9864073
pango,0.9803361
lingua,0.99145293
ferrum,0.9954295
penso,0.99213266
impero,0.9932508
praecido,0.9924022
caput,0.9908883
uestis,0.99495137
refugio,0.99204373
complector,0.9908058
abicio,0.9909916
miro,0.98854065
muliebris,0.9899533
co,0.98836124
orator,0.97534406
colloquor,0.98704386
condicio,0.9511301
pax,0.9800093
potior,0.9910714
pectus,0.9949915
cor,0.96887064
quisnam,0.99222577
negotium,0.9782124
sic,0.9925033
filia,0.9683269
expeto,0.9767105
medius,0.9908411
uisus,0.99518156
praesidium,0.97363436
quingenti,0.97983116
regredior,0.9861264
excuso,0.980274
religio,0.98342675
obiectum,0.9858879
princeps,0.9807746
transigo,0.9896439
colloquium,0.98681694
utrimque,0.98424655
trecenti,0.9892654
causa,0.98628086
dux,0.9902333
impono,0.99248147
conuenio,0.99130964
uti,0.9682891
congredior,0.9934255
specto,0.9974807
tero,0.9751998
donec,0.98269665
periclitor,0.9935218
trans,0.97510636
traicio,0.98919845
cautum,0.98160064
fraus,0.9918667
insidio,0.98309886
audacia,0.97985995
deligo,0.9859221
succedo,0.9850771
ni,0.9876319
consilium,0.98657036
inio,0.92044425
tutus,0.99297774
ratis,0.9914715
oppono,0.9882997
sescenti,0.97819024
adfirmans,0.9831233
antea,0.9834769
multum,0.9872064
concito,0.9924999
hostilis,0.9932804
ueniens,0.9693976
iussus,0.98598075
constanter,0.9198369
initium,0.9571675
excipio,0.99329937
cedo,0.9939626
sensum,0.96719277
confundo,0.98537576
turma,0.9915656
ordo,0.9847009
mora,0.9862107
conseruandus,0.970224
perspicio,0.98355794
dissipo,0.9840799
opprimo,0.9928345
pauidus,0.9914863
audio,0.9812132
integrus,0.9647765
profligatus,0.981199
extemplo,0.9535444
uersus,0.9929445
terror,0.9769875
fudo,0.983004
concurro,0.9914545
undique,0.98962504
obuius,0.99342763
facilis,0.9925196
fessus,0.99540675
effugio,0.99405366
fides,0.98187757
uiolo,0.9938774
poena,0.9893204
mors,0.98914933
luo,0.9885743
ardeo,0.9957553
biduum,0.97824883
ignotus,0.9964429
absumo,0.9868271
auspicium,0.9827976
opera,0.97101265
immolo,0.971439
cornu,0.9819088
erigo,0.99423105
robur,0.9891675
quinquaginta,0.97842723
inaequalis,0.97116673
deduco,0.99003935
loco,0.991233
curo,0.9939451
prior,0.9918622
secundus,0.96972495
auctus,0.99254
frango,0.99709547
etsi,0.9737257
vico,0.95578927
clades,0.9836386
accerso,0.9827983
exitus,0.9871156
nubes,0.9848644
obruo,0.9903088
destino,0.9918907
recipio,0.99205816
promoueo,0.9676838
memoria,0.9875779
terreo,0.9945395
inhaereo,0.98630875
fedior,0.97710586
inclino,0.985566
praelo,0.9635552
usque,0.96572495
tergum,0.9927444
cupiditas,0.9879844
serius,0.98531485
