Lemma,APD
mensis,0.50755906
deserta,0.5075548
honoro,0.5075309
fingo,0.5075112
retineo,0.5075086
corporalis,0.5074808
decius,0.5074761
mille,0.50743884
qualitas,0.5074379
calx,0.50741255
discerno,0.5073502
asina,0.5073244
linea,0.50732356
cupido,0.50726324
cunctus,0.5071477
continentia,0.5071298
curium,0.5071029
interpretatio,0.50708586
udus,0.50705224
memor,0.50704914
conturbo,0.5069863
declaro,0.5069628
acuo,0.50695914
sisto,0.5068154
malo,0.50678545
humilitas,0.5067041
fides,0.5066765
febr,0.50664896
aestimo,0.50661623
libellus,0.50656253
totus,0.5065421
tribus,0.5065128
sanctitas,0.50650537
absens,0.5065025
numerus,0.5064477
partio,0.5063951
persequor,0.50638795
superbus,0.50631225
exordium,0.5062782
ruo,0.5061718
institutio,0.50615495
lapis,0.50615036
resto,0.50613046
intrinsecus,0.5060842
illustris,0.506054
sido,0.506043
tributus,0.50598913
epistola,0.50596756
canis,0.50586796
idoneus,0.50586605
transigo,0.5057261
corpus,0.505656
concio,0.50560474
impono,0.50558406
confusio,0.50553536
gradus,0.5055325
aspicio,0.5054002
fortiter,0.50538427
impero,0.50538105
insinuo,0.50531185
possideo,0.5052354
semen,0.50521654
remaneo,0.50509703
sacramentum,0.5050699
foris,0.50505334
nimius,0.5049965
liquo,0.5049595
condicio,0.50495577
distantia,0.50489515
liberus,0.50488865
odor,0.5048342
dono,0.5048154
humus,0.50479233
uilis,0.5047827
indicium,0.5047135
barbarus,0.50470436
ingredior,0.5046799
colon,0.5046739
mentior,0.504574
electio,0.50450397
dextera,0.5044561
ater,0.50442934
dubitatio,0.5043959
leno,0.5043466
corripio,0.504257
quiesco,0.5042348
hortor,0.50418556
inspicio,0.5041823
dedo,0.504149
obsto,0.50408304
derelinquo,0.5040053
aequalitas,0.5040034
restituo,0.5039986
studeo,0.503843
erigo,0.5038223
nobilito,0.5037989
cieo,0.5037909
usus,0.5037096
testis,0.5037014
confirmatio,0.5036819
coniunctio,0.5036572
flos,0.50365543
prorsus,0.50364363
mire,0.5036073
posthac,0.5035836
aer,0.50353163
amplector,0.50351995
appetitus,0.50351053
summum,0.50349647
excello,0.50347704
sata,0.5034688
permitto,0.5034597
deligo,0.50337523
praebeo,0.50336975
pendo,0.50333035
auctor,0.5033066
canus,0.5032913
occasio,0.5032821
abiectus,0.50324804
iuro,0.5032222
complures,0.50317407
genus,0.50315166
officium,0.50313586
capax,0.50312567
delictum,0.5031042
senior,0.50309485
casus,0.50305164
subscribo,0.5030442
honestus,0.503027
desertum,0.5030174
monstro,0.5030172
admoneo,0.5030152
superfluo,0.5029945
insignio,0.5029187
suscito,0.5029184
tempestas,0.5028098
defendo,0.5027477
ingenium,0.5026816
conflo,0.5026785
prosper,0.5026273
obligo,0.5026239
palladium,0.5026112
compello,0.50258476
cuncto,0.50252575
lateo,0.5024742
agito,0.5023803
nonae,0.50230175
idus,0.50228703
corono,0.5022239
palmus,0.5022137
delectatio,0.50220656
successor,0.5021726
posco,0.50211775
error,0.50209844
cultus,0.50200254
fictus,0.50195533
rectum,0.50186896
cerno,0.5018624
cras,0.50184655
parue,0.50179964
luna,0.5017903
boni,0.50178343
eruo,0.5017675
arieto,0.5017672
pulchritudo,0.5017636
intueor,0.5017616
unusquisque,0.50169605
miniscor,0.5016616
inferi,0.5016393
mensa,0.5016245
fungor,0.5016215
species,0.50160176
cinis,0.50144696
milium,0.5014098
explicatio,0.5013726
pango,0.50135857
significo,0.50134575
fluo,0.501244
series,0.50121
texo,0.5012089
paupertas,0.5012035
iudicium,0.50117487
aditus,0.50117135
permaneo,0.5011462
difficilis,0.5011455
sperno,0.5011283
missus,0.5011225
festino,0.50111157
perspicio,0.50110054
splendor,0.5010793
recido,0.5010664
scriptura,0.50104
persuadeo,0.5010159
pergo,0.50097436
praeteritus,0.50097406
genu,0.5009033
appareo,0.5008987
