id,title,creator,date_avg,date_range_start,date_range_end,type,file
MQDQ-49,exodus,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-49.txt
MQDQ-55,deperditorum carminum reliquiae,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-55.txt
MQDQ-48,liber geneseos,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-48.txt
MQDQ-53,Iesu Naue,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-53.txt
MQDQ-54,iudicum,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-54.txt
MQDQ-50,leuiticus,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-50.txt
MQDQ-51,numeri,Cyprianus Gallus,412,400,425,poetry,lat_0450.0_MQDQ-51.txt
MQDQ-243,carmina minora,Orientius,412,400,425,poetry,lat_0450.0_MQDQ-243.txt
MQDQ-242,commonitorium,Orientius,412,400,425,poetry,lat_0450.0_MQDQ-242.txt
MQDQ-381,de Iona,pseudo Cyprianus,413,400,425,poetry,lat_0400.0_MQDQ-381.txt
MQDQ-380,de Sodoma,pseudo Cyprianus,413,400,425,poetry,lat_0400.0_MQDQ-380.txt
MQDQ-514,"*ignoti uersus ap. Aug. mus. 5, 13, 27",Augustinus Hipponensis,407,388,427,poetry,lat_0392_MQDQ-514.txt
IT-LAT0016,Regula,Augustinus Hipponensis,412,397,427,prose,lat_0391_IT-LAT0016.txt
MQDQ-516,uersus Sibyllae,Augustinus Hipponensis,419,412,427,poetry,lat_0392_MQDQ-516.txt
IT-LAT0768,A Firmo de civitate Dei,Augustinus Hipponensis,419,412,427,prose,lat_0419_IT-LAT0768.txt
IT-LAT0608,De laude eremi,Eucherius Arelas: Sanctus,426,426,427,prose,lat_0450_IT-LAT0608.txt
MQDQ-360,"carmen de ingratis, argumentum",Prosper Aquitanus,429,429,430,poetry,lat_0450.0_MQDQ-360.txt
MQDQ-361,carmen de ingratis,Prosper Aquitanus,429,429,430,poetry,lat_0450.0_MQDQ-361.txt
MQDQ-362,in obtrectatorem Augustini,Prosper Aquitanus,429,429,430,poetry,lat_0450.0_MQDQ-362.txt
MQDQ-189,alethia,Marius Victor,430,430,430,poetry,lat_0450.0_MQDQ-189.txt
MQDQ-422,carmen paschale,Sedulius,431,431,431,poetry,lat_0450.0_MQDQ-422.txt
MQDQ-364,epitaphium haereseon,Prosper Aquitanus,431,431,432,poetry,lat_0450.0_MQDQ-364.txt
IT-LAT0904,Adversus profanas omnium novitates haereticorum commonitorium cum notis,Vincentius Lerinensis,434,434,434,prose,lat_0450_IT-LAT0904.txt
IT-LAT0383,Contra haereticos (Codex Theodosianus),[Auctor incertus],438,438,438,prose,lat_0438_IT-LAT0383.txt
MQDQ-66,uersus de fide,Agrestius Gallus Episcopus,441,441,441,poetry,lat_0450.0_MQDQ-66.txt
MQDQ-220,panegyricus poeticus,Merobaudes,441,437,446,poetry,lat_0450.0_MQDQ-220.txt
MQDQ-121,carminis fragmentum,Hilarius Arelatensis,434,420,449,poetry,lat_0425_MQDQ-121.txt
LC-16,Saturnalia,Ambrosius Theodosius Macrobius,425,400,450,prose,lat_0450_LC-16.txt
MQDQ-185,carminis fragmentum,Ambrosius Theodosius Macrobius,425,400,450,poetry,lat_0450.0_MQDQ-185.txt
MQDQ-423,hymni,Sedulius,425,400,450,poetry,lat_0450.0_MQDQ-423.txt
IT-LAT0189,Epitoma rei militaris,"Vegetius Renatus, Flavius",429,408,450,prose,lat_0390_IT-LAT0189.txt
MQDQ-218,carmen de Christo,Merobaudes,440,430,450,poetry,lat_0450.0_MQDQ-218.txt
IT-LAT0610,Liber sententiarum,Prosper Aquitanus,450,450,450,prose,lat_0426_IT-LAT0610.txt
MQDQ-363,epigrammata,Prosper Aquitanus,450,450,450,poetry,lat_0450.0_MQDQ-363.txt
LC-16_1,Eucharisticon Deo sub ephemeridis meae textu,Paulinus Pellaeus,459,459,459,poetry,lat_0400_LC-16_1.txt
MQDQ-219,carmina,Merobaudes,450,439,460,poetry,lat_0450.0_MQDQ-219.txt
IT-LAT0776,Chronicon,Hydatius Lemicensis,438,408,468,prose,lat_0350_IT-LAT0776.txt
MQDQ-444,carmina,Sidonius Apollinaris,469,469,469,poetry,lat_0458_MQDQ-444.txt
MQDQ-285,de uita Martini,Paulinus Petricordiae,465,460,470,poetry,lat_0450.0_MQDQ-285.txt
IT-LAT0919,Opus agriculturae,"Palladius, Rutilius Taurus Aemilianus",450,425,475,prose,lat_0350_IT-LAT0919.txt
MQDQ-273,de insitione,Palladius Rutilius Taurus Aemilianus,450,425,475,poetry,lat_0450.0_MQDQ-273.txt
MQDQ-608,epistula ad Arbogastem,Auspicius Tullensis Episcopus,475,475,475,poetry,lat_0450.0_MQDQ-608.txt
MQDQ-125,"uita Hilarii Arelatensis, uersus inserti",Honoratus Massiliensis,480,480,480,poetry,lat_0450.0_MQDQ-125.txt
MQDQ-445,"epistulae, uersus inserti",Sidonius Apollinaris,475,469,482,poetry,lat_0458_MQDQ-445.txt
MQDQ-120,*de euangelio,Pseudo-Hilary,468,440,496,poetry,lat_0367_MQDQ-120.txt
MQDQ-118,*in genesin,Pseudo-Hilary,468,440,496,poetry,lat_0367_MQDQ-118.txt
MQDQ-59,de laudibus dei,Dracontius,493,490,496,poetry,lat_0450.0_MQDQ-59.txt
MQDQ-60,satisfactio,Dracontius,493,490,496,poetry,lat_0450.0_MQDQ-60.txt
IT-LAT0251,Epistulae Theodoricianae variae,Papa Gelasius I,494,492,496,prose,lat_0535_IT-LAT0251.txt
MQDQ-268,*argumenta Aeneidos,Pseudo-Ovid,30,18,500,poetry,lat_+0030_MQDQ-268.txt
MQDQ-343,precatio omnium herbarum,precatio omnium herbarum,257,15,500,poetry,lat_0250.0_MQDQ-343.txt
MQDQ-344,precatio Terrae matris,precatio Terrae matris,257,15,500,poetry,lat_0250.0_MQDQ-344.txt
MQDQ-305,"ars, praefatio",Phocas,350,200,500,poetry,lat_0450.0_MQDQ-305.txt
MQDQ-304,carmen de uita Vergilii,Phocas,350,200,500,poetry,lat_0450.0_MQDQ-304.txt
MQDQ-482,aenigmata,Symphosius,434,368,500,poetry,lat_0450.0_MQDQ-482.txt
