Word,Frequency_t_reference-last,Frequency_t0,"Cosine_similarity(w_t_reference-last,w_t0)",interval-0,neighbours_t0,Frequency_t1,"Cosine_similarity(w_t_reference-last,w_t1)",interval-1,neighbours_t1
subueho,43,40,0.5764394,0,"[('transueho', 0.7399475574493408), ('interfluo', 0.737647294998169), ('adpello', 0.732464611530304), ('refundo', 0.7308046221733093), ('adluo', 0.7295361757278442), ('depopulo', 0.7258747816085815), ('stagno', 0.7257753014564514), ('transmitto', 0.7220749855041504), ('Rhodanus', 0.7201250791549683), ('adiaceo', 0.717531681060791)]",43,1.0,1,"[('sinuo', 0.7831335067749023), ('despecto', 0.7748592495918274), ('trano', 0.7725444436073303), ('Phasis', 0.7633628249168396), ('uecto', 0.761417031288147), ('Triton', 0.7521390318870544), ('Eridanus', 0.7479051947593689), ('Ganges', 0.7448626756668091), ('curuus', 0.7425281405448914), ('concauus', 0.7422040700912476)]"
inmemor,43,40,0.4732753,0,"[('credulus', 0.6272608041763306), ('permulceo', 0.620702862739563), ('modestus', 0.5922106504440308), ('detestor', 0.588590681552887), ('miserabilis', 0.5813412070274353), ('procax', 0.5783366560935974), ('insatiabilis', 0.5760679244995117), ('solor', 0.5739326477050781), ('pulchrus', 0.5701025724411011), ('optatus', 0.5653402805328369)]",43,1.0,1,"[('increpito', 0.6132338047027588), ('deploro', 0.611927330493927), ('spectatus', 0.6105348467826843), ('temno', 0.6092324256896973), ('oblniiscor', 0.6049550771713257), ('quisue', 0.6004407405853271), ('largio', 0.5957476496696472), ('fesdo', 0.5938503742218018), ('exacerbo', 0.5827388763427734), ('insolenter', 0.5818589329719543)]"
amissio,43,40,0.57385445,0,"[('turpissimus', 0.6280350685119629), ('euersio', 0.5936938524246216), ('debilitas', 0.5750877261161804), ('orbitas', 0.5710243582725525), ('adficio', 0.5676885843276978), ('abolo', 0.5550138354301453), ('patronum', 0.5419858694076538), ('flagitiosus', 0.537875235080719), ('deformo', 0.5350607633590698), ('praeopto', 0.532746434211731)]",43,1.0,1,"[('proscriptio', 0.7269230484962463), ('capitalis', 0.721705436706543), ('detrimentum', 0.6506286859512329), ('existimatio', 0.6464800834655762), ('inrogo', 0.6188742518424988), ('iactura', 0.6066043972969055), ('damnatio', 0.6007800698280334), ('supplicium', 0.5969483256340027), ('damnum', 0.5959348678588867), ('grauior', 0.594550609588623)]"
salueo,43,40,0.6761398,0,"[('saalue', 0.7465086579322815), ('mitissimus', 0.650721549987793), ('ado', 0.6405208110809326), ('grato', 0.6350693106651306), ('genetrix', 0.630182683467865), ('Mercurius', 0.6226750016212463), ('heus', 0.6197305917739868), ('Latona', 0.6197284460067749), ('Anchises', 0.611388087272644), ('unanimis', 0.6103348135948181)]",43,1.0,1,"[('praeceptor', 0.6609638333320618), ('saalue', 0.6555408239364624), ('Calliope', 0.6339885592460632), ('affor', 0.6258598566055298), ('Paulinus', 0.6257866621017456), ('adneo', 0.6147398352622986), ('ado', 0.6122428774833679), ('obsecratio', 0.6006187200546265), ('des', 0.5971500277519226), ('auspex', 0.5962117910385132)]"
saeta,43,40,0.8445941,0,"[('aduncus', 0.8747490048408508), ('nodosus', 0.8479659557342529), ('ferratus', 0.8450984358787537), ('hirtus', 0.8448783755302429), ('rigesco', 0.8359366059303284), ('liueo', 0.8351324796676636), ('hirsutus', 0.8280384540557861), ('undo', 0.8194442987442017), ('uipereus', 0.8153963088989258), ('uncus', 0.8131502866744995)]",43,1.0,1,"[('hirsutus', 0.8830431699752808), ('pluma', 0.8771438598632812), ('cassis', 0.8724693059921265), ('tergus', 0.8708292841911316), ('mentum', 0.8674459457397461), ('crocus', 0.8662364482879639), ('rictus', 0.8625651001930237), ('calceus', 0.8574778437614441), ('squamosus', 0.8560984134674072), ('pilus', 0.8494932651519775)]"
auersor,43,40,0.3023373,0,"[('misereor', 0.6110699772834778), ('inuoco', 0.6098225116729736), ('uotus', 0.5878246426582336), ('miseror', 0.5735824108123779), ('ultor', 0.5679458379745483), ('adiuro', 0.566580593585968), ('seruator', 0.5622340440750122), ('misereo', 0.5599230527877808), ('propitio', 0.5556366443634033), ('hospitalis', 0.5545651912689209)]",43,1.0,1,"[('subrepo', 0.6814243197441101), ('praecaueo', 0.6727214455604553), ('impotens', 0.6566199064254761), ('derideo', 0.6550400257110596), ('odo', 0.6489507555961609), ('obiurgo', 0.6418988108634949), ('praeoccupo', 0.6337987780570984), ('despicor', 0.6322149634361267), ('exaggero', 0.6186208128929138), ('uspia', 0.6181391477584839)]"
Arcadia,43,40,0.6666816,0,"[('fatidicus', 0.7629551291465759), ('Triuia', 0.7586092352867126), ('Auernus', 0.7533115744590759), ('Tyrrhena', 0.7399566173553467), ('Idaeus', 0.7311952710151672), ('Lycaeus', 0.7276652455329895), ('lucus', 0.7227069735527039), ('thracius', 0.7214034795761108), ('Herculeus', 0.7205601334571838), ('Ida', 0.7205017805099487)]",43,1.0,1,"[('Lydia', 0.7826289534568787), ('Lycus', 0.7788761854171753), ('Ganges', 0.7499392032623291), ('Insula', 0.7475341558456421), ('Caria', 0.7421127557754517), ('Ida', 0.7410924434661865), ('Indus', 0.7388521432876587), ('Colchus', 0.738741934299469), ('turritus', 0.7354479432106018), ('Triton', 0.7335889339447021)]"
obtego,43,40,0.659255,0,"[('peruro', 0.8089954257011414), ('contego', 0.7955619096755981), ('perfundo', 0.79230135679245), ('affigo', 0.7894379496574402), ('umecto', 0.782017707824707), ('rigo', 0.7685896754264832), ('squaleo', 0.7681308388710022), ('tundo', 0.7681143879890442), ('inuoluo', 0.7676034569740295), ('repleo', 0.7641698122024536)]",43,1.0,1,"[('obduco', 0.801050066947937), ('rigeo', 0.7307089567184448), ('contorqueo', 0.7306336760520935), ('crassus', 0.7296309471130371), ('attero', 0.7252777218818665), ('inuoluo', 0.7235931158065796), ('nigro', 0.7183898687362671), ('sura', 0.7125257849693298), ('perforo', 0.712173342704773), ('fuligo', 0.7090842723846436)]"
elephant,43,40,0.662228,0,"[('funditor', 0.8051794171333313), ('elephantus', 0.7746226191520691), ('CCCC', 0.7708311676979065), ('ducentus', 0.741083562374115), ('octingenti', 0.7361146807670593), ('sagittarius', 0.7333001494407654), ('octoginta', 0.7222084999084473), ('quadriga', 0.7167990803718567), ('calo', 0.7155169248580933), ('circiter', 0.7051348090171814)]",43,1.0,1,"[('cyaneus', 0.7497055530548096), ('oblongus', 0.7487359046936035), ('pauo', 0.7455139756202698), ('talus', 0.7432486414909363), ('hastile', 0.7402541637420654), ('cuneo', 0.7328746318817139), ('icior', 0.7248170375823975), ('recuruo', 0.7239245176315308), ('funditor', 0.7195382118225098), ('missilis', 0.7189457416534424)]"
heus,43,40,0.60443664,0,"[('Heus', 0.8832612633705139), ('istinc', 0.7585092186927795), ('Syrus', 0.7087585926055908), ('heri', 0.704256534576416), ('Geta', 0.6914592385292053), ('subrideo', 0.6909297704696655), ('iamdudum', 0.6591753959655762), ('adfor', 0.6427738666534424), ('cras', 0.6383221745491028), ('Libanus', 0.6267405152320862)]",43,1.0,1,"[('Heus', 0.7256706953048706), ('ausculto', 0.6239220499992371), ('barbare', 0.6108502149581909), ('Tiro', 0.609750509262085), ('inscitus', 0.5996270775794983), ('Peripateticus', 0.5957019925117493), ('Nicander', 0.5929715633392334), ('quodnam', 0.5920400619506836), ('Catullus', 0.5887688398361206), ('luculentus', 0.5880109667778015)]"
amicissimus,43,40,0.44848096,0,"[('fortus', 0.6382117867469788), ('fautor', 0.629317045211792), ('praestantus', 0.6291182041168213), ('sapientus', 0.6191647052764893), ('prudentissimus', 0.6098009347915649), ('clarissimus', 0.6055976152420044), ('Metellus', 0.5949665307998657), ('Scaurus', 0.5934189558029175), ('adiutor', 0.5849106907844543), ('fortissimus', 0.5834460854530334)]",43,1.0,1,"[('studiosissimus', 0.6523972749710083), ('Peripateticus', 0.6028507351875305), ('excellentissimus', 0.5983208417892456), ('praefatio', 0.5952378511428833), ('moreo', 0.594268262386322), ('diffidentia', 0.5927247405052185), ('XLU', 0.5891611576080322), ('fideiubeo', 0.5850362777709961), ('displico', 0.584273636341095), ('regero', 0.5839655995368958)]"
deludo,42,40,0.6191784,0,"[('Eus', 0.6115782856941223), ('ludifico', 0.6087396144866943), ('Do', 0.6057022213935852), ('Heus', 0.6048247814178467), ('extrudo', 0.5843069553375244), ('praenosco', 0.5827336311340332), ('ausculto', 0.5794094204902649), ('proloquor', 0.5763567090034485), ('demoror', 0.576266884803772), ('uapulo', 0.571338415145874)]",42,1.0,1,"[('decipio', 0.7572982311248779), ('temerarius', 0.7191808819770813), ('callidus', 0.7191092371940613), ('subdolus', 0.7183113694190979), ('pertempto', 0.7055101990699768), ('fallax', 0.7042293548583984), ('oblecto', 0.7012647986412048), ('illudo', 0.6893752217292786), ('capto', 0.6701803207397461), ('confingo', 0.6692781448364258)]"
perfrico,42,40,0.6496969,0,"[('exulcero', 0.7743714451789856), ('refrigero', 0.7633569836616516), ('praecido', 0.7557509541511536), ('adstringo', 0.751063346862793), ('eluo', 0.7486092448234558), ('aduro', 0.7351315021514893), ('unguo', 0.7302368879318237), ('frigidus', 0.7300807237625122), ('deiectio', 0.7265087366104126), ('glutino', 0.7263257503509521)]",42,1.0,1,"[('beta', 0.8518944978713989), ('tuber', 0.836036741733551), ('talea', 0.8333854675292969), ('polenta', 0.8329023718833923), ('sumen', 0.8287487626075745), ('sinapio', 0.8274999260902405), ('lentiscus', 0.819456934928894), ('cuminum', 0.8189871311187744), ('satureia', 0.8155102729797363), ('cepa', 0.8145917057991028)]"
commoditas,42,40,0.443722,0,"[('uarietas', 0.6300134658813477), ('augio', 0.6153176426887512), ('facultas', 0.5577635169029236), ('occupatio', 0.5555088520050049), ('integritas', 0.5546072125434875), ('exercitatio', 0.5503612756729126), ('impensus', 0.5494027137756348), ('iucunditas', 0.5448784232139587), ('amplifico', 0.5437656044960022), ('suppedito', 0.5428641438484192)]",42,1.0,1,"[('commodum', 0.6228851079940796), ('utilitas', 0.6153019666671753), ('aerarium', 0.6124998331069946), ('beniuolentia', 0.6104646325111389), ('patrocinium', 0.6089504361152649), ('procuratio', 0.6071802973747253), ('aduocatio', 0.6030112504959106), ('magisterium', 0.6019757986068726), ('compendium', 0.6013919115066528), ('mediocritas', 0.5970951914787292)]"
