Token,Cosine Similarity
gero,0.9877323
gloriose,0.9590421
uiuus,0.99248683
nunc,0.9934759
uigeo,0.99281836
solus,0.99457914
eos,0.96224946
pallium,0.9676658
abduco,0.9836715
lingua,0.99120086
faueo,0.99535847
animus,0.9944339
libero,0.97796494
ludus,0.991919
liberalia,0.8612138
tantum,0.98854285
mola,0.990168
crepo,0.98263156
compes,0.9758517
scapula,0.9736978
collus,0.8751377
callum,0.96111864
nescio,0.9893509
ecqui,0.81900203
adsum,0.9936049
hercle,0.93689454
apluda,0.85049915
hodie,0.9364225
nequus,0.9701923
pessimus,0.98486245
audax,0.9939371
ganeo,0.86031115
aleo,0.80342305
uagus,0.99468637
rideo,0.99634016
egomet,0.9814802
ebris,0.91275054
coquus,0.9795011
neptunus,0.9945085
ceres,0.99587446
uenus,0.9959073
experior,0.9902965
volcanus,0.9736996
obsorbeo,0.9039556
pariter,0.98886293
penitus,0.9565426
offa,0.9733714
merula,0.77754384
amphora,0.97696805
nascor,0.995147
sponsa,0.9372364
praegnas,0.9369576
uel,0.9810848
aio,0.9495187
nego,0.98995656
spero,0.9861972
nubo,0.9786836
adulescentulus,0.9920527
licet,0.97805566
senilis,0.98716706
tracto,0.9927971
detritus,0.9430306
oportet,0.9805237
opinor,0.9809104
praefica,0.8174876
mortuus,0.9778036
collaudo,0.96593493
dum,0.99307805
modus,0.98954725
scio,0.9810694
scribo,0.99161625
conspondo,0.6867723
miser,0.9902209
nex,0.99377775
ingurgito,0.9511448
imum,0.9742328
capitalis,0.96868867
compleo,0.98062754
immortalis,0.94596255
fas,0.9909482
flo,0.98671746
fleo,0.99348295
diuus,0.98126954
camena,0.99217904
naeuius,0.96024406
poeta,0.994191
itaque,0.9755074
postquam,0.9876823
trado,0.9922294
thesaurus,0.97870743
obleo,0.97740877
roma,0.97839516
seco,0.9960289
sequor,0.9970843
troia,0.99214613
strenuus,0.99262285
summus,0.9896283
regno,0.9738798
genus,0.98882914
odi,0.9844559
auis,0.9923944
aspicio,0.9952976
anchises,0.9722513
sacer,0.98465455
ordo,0.9847889
pono,0.99464214
immolo,0.9716527
aureus,0.99440473
uictima,0.98442113
pulcher,0.9893477
saturnius,0.94350255
pello,0.9948467
uita,0.988019
insepultus,0.98458004
laetus,0.9930328
redux,0.9849746
casca,0.8896088
sponsus,0.91941047
ueiens,0.9254122
saluto,0.98915535
uibo,0.8209565
albanus,0.9872067
comitor,0.9935907
senex,0.9870444
sapio,0.9916852
contra,0.9796265
mi,0.8433325
salus,0.9738969
uester,0.98683107
publica,0.95118415
tantus,0.9937131
amitto,0.995894
prouenio,0.9944285
orator,0.97470796
stultus,0.98559904
mos,0.9933621
uerus,0.9933663
lingula,0.92718434
formido,0.99270546
ualentia,0.8832901
contemplo,0.98277193
placide,0.9805327
forma,0.98987925
facies,0.9478156
uirgo,0.9914931
excido,0.98883516
ee,0.96343255
inuenio,0.9938701
compos,0.9816157
aurum,0.9876806
rubeo,0.99518156
fons,0.99042344
lauo,0.98673207
memini,0.9903546
desubitus,0.89087945
fama,0.99250364
uia,0.98362726
quisque,0.9890649
merio,0.91332805
praesens,0.9834566
indignus,0.9919871
exigo,0.9931288
innocens,0.9813928
quondam,0.9923902
fulmen,0.9975606
ico,0.9421081
iuppiter,0.99474066
manubia,0.98094404
suppeto,0.9832618
sonitus,0.9872834
clarus,0.9917131
effugio,0.9944573
tunc,0.98797107
adorio,0.82986534
hinc,0.98737794
sparta,0.9704424
refero,0.9956085
nuntius,0.9717816
passus,0.94535446
uelo,0.99374735
uicinus,0.9959315
aquilo,0.978833
orestes,0.9905019
portus,0.9883893
foras,0.94517386
terminus,0.9739795
tuto,0.98420036
alte,0.9908932
iubatus,0.9334025
anguis,0.9929495
inlaesus,0.9778682
melos,0.96036494
regalis,0.98444444
corpus,0.99068785
custodia,0.98204416
agito,0.9947182
actutus,0.9204448
ingenium,0.9918549
arbustum,0.9684
obso,0.91708803
arguo,0.9922142
muto,0.99591714
quadrupes,0.98645204
alis,0.9927884
sublime,0.89990073
saltus,0.9811505
inlicitus,0.9882436
inuius,0.97839624
bipes,0.9236752
uolucer,0.99509156
linum,0.99091756
linquo,0.99442464
lumen,0.98930407
uti,0.9689137
uenatus,0.9916205
nos,0.9894646
poena,0.9883876
decoro,0.98814595
ferus,0.9970118
pergo,0.9845059
baccha,0.9554152
itus,0.82786554
tute,0.96036917
pactum,0.9106949
poteo,0.97116023
dolus,0.97509813
ferio,0.99573183
ira,0.9917429
acer,0.9930279
acrimonia,0.9313606
contendo,0.9939978
iniurus,0.81603765
sic,0.99218035
amnis,0.99525225
celo,0.99133563
rapio,0.9969591
inflecto,0.9917762
flecto,0.9971087
duplico,0.9936366
timus,0.7686819
laetor,0.987682
inter,0.9937714
propter,0.9838573
aqua,0.9857546
sumo,0.99491173
palla,0.9641956
crocota,0.88228333
mortualis,0.8732923
sine,0.99234647
ferrum,0.99533933
suesco,0.98247766
mors,0.98877287
meo,0.9872356
flamma,0.99311477
flora,0.96283096
proinde,0.97653675
huc,0.98849005
progno,0.886421
lycurgus,0.98747563
sol,0.9950681
aestus,0.99552035
candor,0.9890181
liquesco,0.9907372
late,0.9903153
ferueo,0.99158573
obstino,0.97683364
male,0.985546
dilabor,0.9882524
dubius,0.99110216
fretum,0.9929458
intro,0.96494544
curro,0.9964141
amico,0.96837837
fermes,0.9504504
iniuria,0.98794496
malum,0.9806136
numero,0.9863536
trio,0.96083283
moderator,0.9545231
rusticus,0.99327344
aperte,0.9833598
timeo,0.9867614
propitiabilis,0.8226023
foris,0.9767845
desubito,0.89034283
oro,0.9826993
lacrimo,0.9885809
genu,0.9847483
strepitus,0.9945879
audio,0.98176736
esse,0.9807487
clueo,0.93714714
miserrimus,0.9864991
cunctus,0.9921723
cautus,0.9942359
fortis,0.9859314
ager,0.97923905
depopulo,0.97058743
dominus,0.93977654
aequor,0.9945676
salsus,0.98927927
uegeo,0.91649824
ingens,0.9933644
uentus,0.995716
spolium,0.9884235
detraho,0.9929198
inscriptio,0.9507574
malo,0.9900248
conuiuo,0.98201376
quidquid,0.9912676
celere,0.94237214
contemplor,0.9924313
inde,0.9765883
liquidus,0.9902963
pilatus,0.8692194
aether,0.9933227
orae,0.6605439
restito,0.90829945
occurro,0.99423325
obsto,0.9953629
ennus,0.91519284
uersus,0.9929905
flammeus,0.98346514
medullitus,0.92299044
bene,0.992182
falso,0.9866457
crimino,0.94295466
testis,0.9881673
latium,0.99276394
africa,0.9792478
polio,0.9850302
tristis,0.9958489
quaerito,0.9136039
sinapio,0.9690324
maestus,0.99463326
quippe,0.9868139
cura,0.99207246
lautus,0.90929836
aduenus,0.84285104
infero,0.98427236
expedio,0.9943411
bracchium,0.9949364
alacer,0.9923799
lupinus,0.99078995
expectans,0.97162414
impetus,0.98818064
mox,0.98698825
censeo,0.9599371
fides,0.98103887
seruo,0.99588984
uoro,0.9875518
argumentum,0.98682415
promptus,0.9860603
situs,0.98983556
exspecto,0.9928395
possio,0.92041636
lepidus,0.9864599
postulo,0.98956347
frustro,0.99039453
frustra,0.98958725
sentio,0.99223995
canis,0.9910117
memordeo,0.76849383
marinus,0.98497015
plaga,0.9728167
ciuis,0.99235976
defendo,0.9914886
hostis,0.988238
sublimus,0.9873128
subex,0.6727611
unde,0.98589647
orior,0.98974776
imber,0.99363184
saeuus,0.99677503
spiritus,0.936293
incertus,0.9924439
gradus,0.97556
regredero,0.75295687
pugno,0.9938262
proelio,0.9382622
consilium,0.9859265
concedo,0.99105835
cor,0.9690942
callidus,0.9900972
fluctus,0.9948032
eicio,0.9810964
extollo,0.9918839
gloria,0.9685012
exsurgo,0.98875916
audientia,0.87905055
sileo,0.9962255
imperator,0.62458515
prolo,0.97837245
aer,0.98211807
assisto,0.97831404
achiuus,0.9803386
statim,0.9825966
missus,0.98636836
sanguus,0.7912177
tepidus,0.9920479
tullium,0.6133393
efflo,0.9865148
circumuenio,0.98995
morbus,0.9894692
exilium,0.97872835
inopia,0.9872354
pauor,0.9895234
sapientia,0.97142065
exanimo,0.9904405
expectoro,0.8029128
terribilis,0.9831532
minor,0.9886637
cruciatus,0.9864398
firmus,0.9879299
refugio,0.99195856
timidus,0.9944843
sanguens,0.95050514
exalbesco,0.8402667
metus,0.99320686
expeto,0.9777577
auxilium,0.98763
pestis,0.9874507
abigo,0.99335736
excrucio,0.96041405
caeruleus,0.9951276
circumsto,0.98760223
ardeo,0.9957299
taeda,0.9946087
eccus,0.81721646
intendo,0.9894031
crinitus,0.98665506
apollo,0.99279267
arcus,0.98694867
auro,0.9914273
luno,0.95816445
mico,0.99452007
diana,0.9850442
fax,0.99367833
iacio,0.99453163
laeuus,0.994143
aspectus,0.98660266
caelum,0.98235637
corona,0.98699135
taenia,0.9443171
dudum,0.93776387
auris,0.98959804
aueo,0.94926226
auide,0.9908367
appello,0.9962403
stolidus,0.99073887
intellego,0.9892419
aduento,0.98830944
paupertas,0.98264825
obscuro,0.9909375
nomen,0.98959893
quapropter,0.9821422
pasco,0.9950365
pastor,0.9837358
alexander,0.8136154
uoco,0.99476445
derepo,0.94334775
paulus,0.95410335
sapiens,0.98021317
uirginalis,0.96534634
modestia,0.98024374
optumus,0.9461053
missa,0.9227889
superstitio,0.989295
faio,0.98784363
for,0.9908695
demens,0.99221456
inuitus,0.9934311
cieo,0.9927347
aequalis,0.97141206
pudet,0.9895728
miseret,0.9437861
pigeo,0.9935164
progenies,0.9916802
priamus,0.9944782
extra,0.9887506
doleo,0.99544764
me,0.8433008
obsum,0.9663168
obsequor,0.9923015
